County,started
Glenn,2023-10-01
Orange,2023-10-01
Riverside,2023-10-01
San Diego,2023-10-01
San Francisco,2023-10-01
Stanislaus,2023-10-01
Tuolumne,2023-10-01
Los Angeles,2023-12-01
San Mateo,2024-07-01
Kern,2024-10-01
Mariposa,2024-11-01
Napa,2024-11-25
Alameda,2024-12-01
Alpine,2024-12-01
Amador,2024-12-01
Butte,2024-12-01
Calaveras ,2024-12-01
Colusa,2024-12-01
Contra Costa,2024-12-01
Del Norte,2024-12-01
El Dorado,2024-12-01
Fresno,2024-12-01
Humboldt,2024-12-01
Imperial,2024-12-01
Kings,2024-12-01
Lake,2024-12-01
Lassen,2024-12-01
Madera,2024-12-01
Marin,2024-12-01
Mendocino,2024-12-01
Merced,2024-12-01
Modoc,2024-12-01
Mono,2024-12-01
Monterey,2024-12-01
Nevada,2024-12-01
Placer,2024-12-01
Plumas,2024-12-01
Sacramento,2024-12-01
San Benito,2024-12-01
San Bernardino,2024-12-01
San Joaquin,2024-12-01
San Luis Obispo,2024-12-01
Santa Barbara,2024-12-01
Santa Clara,2024-12-01
Santa Cruz,2024-12-01
Shasta,2024-12-01
Sierra,2024-12-01
Siskiyou,2024-12-01
Solano,2024-12-01
Sonoma,2024-12-01
Sutter,2024-12-01
Tehama,2024-12-01
Trinity,2024-12-01
Tulare,2024-12-01
Ventura,2024-12-01
Yolo,2024-12-01
Yuba,2024-12-01
Inyo,2025-03-01